,home_team,away_team,Home Win %,Away Win %,Draw %
0,Mexico,South Africa,47.2,21.67,31.12
1,South Korea,Czechia,24.91,24.2,50.89
2,Canada,Bosnia-Herzegovina,0.06,60.42,39.53
3,United States,Paraguay,35.35,18.8,45.85
4,Qatar,Switzerland,0.0,95.26,4.74
5,Brazil,Morocco,90.08,1.43,8.49
6,Haiti,Scotland,0.01,80.94,19.05
7,Australia,Türkiye,3.94,89.03,7.03
8,Germany,Curaçao,85.97,0.91,13.12
9,Netherlands,Japan,73.67,9.93,16.4
10,Côte d'Ivoire,Ecuador,65.38,17.58,17.04
11,Sweden,Tunisia,82.9,1.18,15.92
12,Belgium,Egypt,86.72,0.39,12.9
13,Spain,Cape Verde,61.29,11.24,27.46
14,Iran,New Zealand,0.17,8.37,91.46
15,Saudi Arabia,Uruguay,0.88,85.69,13.43
16,France,Senegal,55.17,30.2,14.63
17,Iraq,Norway,0.02,80.52,19.47
18,Argentina,Algeria,87.0,2.06,10.94
19,Austria,Jordan,84.42,2.08,13.5
20,Portugal,Congo DR,84.39,2.03,13.57
21,England,Croatia,48.24,34.9,16.86
22,Ghana,Panama,3.77,16.45,79.78
23,Uzbekistan,Colombia,47.35,32.81,19.84
24,Czechia,South Africa,75.14,8.81,16.04
25,Switzerland,Bosnia-Herzegovina,61.29,11.24,27.46
26,Canada,Qatar,0.12,20.01,79.87
27,Mexico,South Korea,54.98,5.97,39.05
28,United States,Australia,40.01,8.95,51.04
29,Scotland,Morocco,1.89,65.26,32.84
30,Türkiye,Paraguay,72.26,2.42,25.32
31,Brazil,Haiti,95.34,0.01,4.65
32,Netherlands,Sweden,79.38,1.82,18.8
33,Germany,Côte d'Ivoire,85.99,1.4,12.61
34,Ecuador,Curaçao,53.3,5.92,40.78
35,Tunisia,Japan,1.66,84.83,13.52
36,Spain,Saudi Arabia,82.75,0.76,16.49
37,Belgium,Iran,83.65,2.84,13.52
38,Uruguay,Cape Verde,71.74,7.6,20.66
39,New Zealand,Egypt,0.03,49.05,50.93
40,Argentina,Austria,83.37,2.38,14.24
41,France,Iraq,95.84,0.02,4.13
42,Norway,Senegal,4.58,87.9,7.51
43,Jordan,Algeria,56.34,22.11,21.55
44,Portugal,Uzbekistan,84.88,1.77,13.35
45,England,Ghana,78.42,4.6,16.98
46,Panama,Croatia,0.0,97.64,2.35
47,Colombia,Congo DR,68.99,5.91,25.1
48,Switzerland,Canada,80.78,0.55,18.66
49,Bosnia-Herzegovina,Qatar,80.53,1.2,18.26
50,Scotland,Brazil,0.12,97.02,2.85
51,Morocco,Haiti,2.39,3.42,94.19
52,South Africa,South Korea,1.58,32.19,66.23
53,Czechia,Mexico,66.86,11.81,21.32
54,Curaçao,Côte d'Ivoire,59.23,14.06,26.71
55,Ecuador,Germany,3.82,89.52,6.67
56,Japan,Sweden,3.67,40.19,56.14
57,Tunisia,Netherlands,0.25,97.16,2.59
58,Paraguay,Australia,30.53,14.28,55.19
59,Türkiye,United States,68.48,2.94,28.58
60,Norway,France,9.84,78.79,11.38
61,Senegal,Iraq,0.31,5.48,94.21
62,Uruguay,Spain,34.73,48.61,16.66
63,Cape Verde,Saudi Arabia,77.89,4.71,17.4
64,Egypt,Iran,0.03,74.45,25.52
65,New Zealand,Belgium,0.0,93.48,6.52
66,Panama,England,0.01,92.01,7.98
67,Croatia,Ghana,44.3,16.9,38.8
68,Colombia,Portugal,55.54,11.39,33.07
69,Congo DR,Uzbekistan,76.75,5.92,17.34
70,Jordan,Argentina,52.13,18.31,29.57
71,Algeria,Austria,0.98,66.15,32.87
